
13-FEB-1996	14:46

TOTAL PAGES 136195  FILES 12240

  INHOUSE	QUOTA		  OVER		OUTHOUSE

136195   12240                           0   0

 18  24783 1760  50000 JMS
 35  23718 1300 100000 CARL
 46  14646  999  80000 M33
 53  10034 1286  20000 LINK10
 60   9036 1177  25000 WRS
 66   8606  831  25000 MPL
 71   7050 2044  25000 SUBMIT
 76   6830  371   8000 EBUS
 80   4992  366  25000 KS2020
 83   3873  306  25000 SPL
 86   3581  168  25000 OSMAN
 88   2960  158  10000 OSNF
 89   2074   15  20000 OSP
 91   2015  111   6000 KL10
 92   1488   90 100000 OSU
 93   1330  245   5000 XEXEC
 94   1297  167   4000 SPPOPER
 95   1253  250   3000 SAILIB
 96   1229  118  25000 INFO
 96   1110   47  12500 TXSSUP
 97    856  116  10000 PEAK
 98    811   39  25000 MAIL
 98    753   33   1250 SPPARCH
 98    467   45    750 XPPTEST
 99    386   11  34464 YEUX
 99    353  109  25000 TXSTEXT
 99    223   13  25000 OSB
 99    172   37   2500 TTR
 99    113   17   1250 TXSDOC
 99    110    2    110 BLOB
 99     26    3   1250 NDT
 99      8    2  25000 MFICHE
 99      8    2   3000 TSUCOOP
 99      2    1  34464 VUE
100      2    1   4000 SPUNKTEST
100      0    0   1250 TYMGRIPE
100      0    0   1250 TBAUSPS
